"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","knowledge_share","experience_share"
2017,2,53,NA,1,1,40,2,1,2,33,1,1,1,11,NA,9005,1,89,1,24.390243902439,75.609756097561
1997,1,39,NA,1,1,48,3,5,NA,22,1,3,1,11,3.75,10051,NA,90,1,27.5862068965517,72.4137931034483
2017,2,40,NA,1,2,19,3,1,3,18,2,1,1,10,13.1578950881958,2954,1,91,2,18.8235294117647,81.1764705882353
1997,1,34,NA,1,1,54.0000038146973,3,2,2,18,1,1,1,11,7.00356101989746,5267,NA,93,1,22.5490196078431,77.4509803921569
2017,2,41,NA,1,2,20,3,5,NA,18,1,2,1,4,6.92840671539307,9644,6,94,1,23.2558139534884,76.7441860465116
2012,1,58,2,1,1,39,3,4,2,41,1,3,1,10,7.8899998664856,1016,5,95,1,27.027027027027,72.972972972973
2012,1,31,1,1,1,45,5,1,4,7,2,1,1,10,14.5299139022827,2304,1,96,2,25.2747252747253,74.7252747252747
1997,1,36,NA,1,1,37,5,2,3,19,1,1,1,11,12.7338876724243,5025,NA,96,1,31.9444444444444,68.0555555555556
2012,2,55,1,1,1,45,3,2,2,31,2,1,1,10,19.230770111084,810,1,97,2,23.0769230769231,76.9230769230769
2017,1,35,NA,1,1,86,4,1,2,18,1,3,1,11,9.39177131652832,11887,1,97,1,26,74
2012,1,21,1,1,2,8,3,2,3,0,1,2,1,10,6.07999992370605,4556,2,98,1,16.6666666666667,83.3333333333333
2017,1,22,NA,1,2,-3,2,2,2,0,1,NA,1,4,7.5,7555,1,98,1,27.4193548387097,72.5806451612903
2017,2,41,NA,1,1,32,2,2,2,20,2,1,1,10,21.334135055542,3372,1,99,4,23.3766233766234,76.6233766233766
1997,1,23,NA,1,1,40,5,1,2,5,1,1,1,11,4.09999990463257,22689,NA,99,3,21.6216216216216,78.3783783783784
2012,2,56,1,1,1,36,4,1,2,36,2,3,1,10,10.1300001144409,1646,1,99,1,33.3333333333333,66.6666666666667
1997,1,54,NA,1,1,37,4,5,NA,35,1,2,1,11,3.79999995231628,6606,NA,100,1,30,70
2012,2,24,2,1,2,8,2,5,NA,6,1,2,1,10,6.07999992370605,1038,4,101,1,18.6440677966102,81.3559322033898
2017,1,22,NA,1,2,12,2,3,1,4,2,2,3,7,8.01282024383545,23491,5,101,4,19.3548387096774,80.6451612903226
1997,2,51,NA,1,1,40,3,1,3,35,1,2,1,11,7.5,4798,NA,103,1,27.027027027027,72.972972972973
2017,2,57,NA,1,2,30,2,3,5,18,1,3,3,7,NA,4748,6,103,2,26.4367816091954,73.5632183908046
2012,1,55,1,1,1,45,NA,1,3,39,1,3,1,10,12.8730764389038,1906,1,104,1,29.6610169491525,70.3389830508475
2017,1,33,NA,1,1,40,4,4,5,12,1,3,1,7,7.21153879165649,17151,5,104,NA,14.4927536231884,85.5072463768116
2012,1,59,1,1,2,25,1,1,2,41,1,3,1,10,NA,1077,1,105,1,25,75
2017,1,39,NA,1,1,38,4,1,3,18,2,3,3,7,17.7125492095947,14140,1,106,4,20.6611570247934,79.3388429752066
1997,2,49,NA,1,1,40,3,5,NA,20,1,3,1,11,3.5,9041,NA,106,2,25.8064516129032,74.1935483870968
2012,2,27,2,1,2,21,3,4,7,9,1,3,1,10,6.3899998664856,1589,5,106,2,27.906976744186,72.0930232558139
1997,1,36,NA,1,1,55,2,2,1,20,2,1,1,11,6.64335680007935,11390,NA,107,2,29.1666666666667,70.8333333333333
2012,1,60,1,1,1,40,4,5,NA,44,1,1,1,10,14.423077583313,1016,5,108,1,27.1604938271605,72.8395061728395
2017,1,53,NA,1,1,38,4,1,3,32,2,2,1,10,15.1821870803833,1954,2,108,4,26.5486725663717,73.4513274336283
2012,2,50,1,1,2,25,2,1,1,25,2,1,1,10,9.35999965667725,1456,1,110,1,22.2222222222222,77.7777777777778
2017,1,55,NA,1,1,37,4,2,2,36,2,1,1,11,19.5426197052002,12541,1,110,1,28,72
1997,2,43,NA,1,2,16,3,5,NA,22,1,1,1,11,6,10965,NA,110,2,27.4725274725275,72.5274725274725
1997,2,32,NA,1,1,37,3,1,2,15,1,2,1,11,6.75675678253174,8502,NA,111,1,19.7530864197531,80.2469135802469
2017,1,51,NA,1,1,37,5,1,3,30,2,1,1,3,NA,12541,1,112,4,27.4193548387097,72.5806451612903
1997,1,41,NA,1,1,38,2,2,2,16,1,1,1,11,6.5,14044,NA,113,1,29.6703296703297,70.3296703296703
1997,2,48,NA,1,2,20,5,2,2,18,1,1,1,11,4.53999996185303,13562,NA,114,1,30.7692307692308,69.2307692307692
2012,1,44,1,1,1,44,4,1,4,28,1,1,1,10,16.5,2048,2,114,NA,25.6578947368421,74.3421052631579
2017,2,47,NA,1,1,30,3,1,3,30,2,1,1,10,8.9743595123291,1398,3,115,1,29.5454545454545,70.4545454545455
2017,1,37,NA,1,1,-3,4,2,2,11,2,3,1,8,NA,6415,1,116,4,25.2427184466019,74.7572815533981
2012,1,45,2,1,1,39,3,4,7,29,1,1,1,10,NA,1890,5,117,1,27.5862068965517,72.4137931034483
1997,2,54,NA,1,1,37,5,1,1,36,2,1,1,11,11.8243246078491,11932,NA,117,4,26.6666666666667,73.3333333333333
2012,2,48,1,1,1,37,NA,1,3,15,2,1,1,10,20.2702693939209,1740,1,118,2,23.4375,76.5625
2017,2,21,NA,1,1,40,4,1,2,4,1,1,1,6,8.89423084259033,6419,1,119,1,24.4444444444444,75.5555555555556
1997,1,56,NA,1,1,37,4,1,2,33,1,2,1,11,5.19750499725342,5532,NA,119,3,25,75
2012,1,46,2,1,2,15,NA,5,NA,25,1,3,1,10,6.30000019073486,793,6,120,NA,30.2083333333333,69.7916666666667
1997,2,25,NA,1,1,37,4,1,4,0,1,1,1,11,NA,9597,NA,120,3,32.6732673267327,67.3267326732673
2017,1,22,NA,1,2,15,2,4,NA,NA,1,NA,2,5,NA,15111,3,121,NA,19.2307692307692,80.7692307692308
2012,2,39,1,1,1,35,3,1,3,22,1,1,4,10,8.70879077911377,1760,5,123,1,26.9230769230769,73.0769230769231
2012,2,47,1,1,1,39,4,3,1,30,1,2,1,10,6.40999984741211,884,4,124,3,26.1904761904762,73.8095238095238
2012,1,36,1,1,1,40,NA,2,4,12,2,1,1,10,18.269229888916,2563,1,125,3,38.7755102040816,61.2244897959184
2017,2,32,NA,1,1,37,5,2,1,NA,2,2,1,11,NA,4872,1,125,1,25.8064516129032,74.1935483870968
1997,2,57,NA,1,1,37,5,4,1,33,2,3,1,11,9.87525939941406,5966,NA,126,4,20.4545454545455,79.5454545454545
2017,2,37,NA,1,1,33,4,1,2,15,2,NA,1,11,NA,4606,1,126,2,23.1404958677686,76.8595041322314
2012,2,55,2,1,2,20,5,4,7,40,2,1,1,10,7.1399998664856,2944,1,126,1,27.5862068965517,72.4137931034483
2012,1,21,1,1,1,40,2,3,1,2,1,1,1,10,6.69999980926514,1519,1,128,1,24.5454545454545,75.4545454545455
2017,1,51,NA,1,1,37,2,3,1,34,1,3,1,10,8.10810852050781,3621,5,129,1,24.3697478991597,75.6302521008403
2012,2,25,1,1,1,40,3,2,4,1,1,NA,1,10,9.13461494445801,2162,3,130,1,29.8076923076923,70.1923076923077
1997,2,37,NA,1,2,20,2,1,2,13,1,NA,1,11,5,4251,NA,131,2,25.4716981132075,74.5283018867924
2017,2,34,NA,1,1,38,2,1,4,10,2,3,1,2,18.2186222076416,10517,1,131,4,25.1572327044025,74.8427672955975
2012,1,53,2,1,1,45,4,5,NA,32,1,3,1,10,15.1111106872559,1759,6,132,1,24.7058823529412,75.2941176470588
1997,1,24,NA,1,1,37,5,1,4,2,1,NA,1,11,8.83575916290283,13352,NA,132,4,29.1666666666667,70.8333333333333
2012,1,38,2,1,1,18,2,5,NA,15,1,1,1,10,12.8205127716064,2126,1,133,1,27.3809523809524,72.6190476190476
2017,1,21,NA,1,1,43,2,1,2,3,1,1,1,7,8.05008888244629,37130,1,133,1,28.5714285714286,71.4285714285714
1997,2,35,NA,1,2,20,3,2,1,18,1,2,1,11,6.25,8502,NA,135,1,33.8709677419355,66.1290322580645
2012,2,38,1,1,2,30,3,1,3,20,2,3,1,10,NA,1854,1,136,1,31.5789473684211,68.4210526315789
1997,2,23,NA,1,1,35,4,1,1,7,2,1,1,11,6.31868124008179,9597,NA,136,2,28.5714285714286,71.4285714285714
2012,1,24,1,1,1,-3,4,3,1,7,2,2,1,10,NA,4297,1,137,1,19.4805194805195,80.5194805194805
2017,1,20,NA,1,1,50,3,4,5,2,1,1,1,3,6,7555,5,138,NA,20.1754385964912,79.8245614035088
1997,2,43,NA,1,2,20,5,5,NA,20,1,NA,1,11,3,5265,NA,138,1,31.1475409836066,68.8524590163934
2012,2,58,2,1,2,-3,4,3,1,41,1,3,1,10,6.09999990463257,736,1,139,1,27.6315789473684,72.3684210526316
2017,1,60,NA,1,1,40,4,3,1,38,1,3,1,7,12.0192308425903,16765,3,140,1,27.5,72.5
1997,1,35,NA,1,1,48,4,4,4,17,1,1,1,11,7,12189,NA,140,3,35.4430379746835,64.5569620253165
2017,1,24,NA,1,1,37,2,1,1,2,1,3,1,7,9.61538410186768,15661,1,141,3,26.530612244898,73.469387755102
2017,1,24,NA,1,1,35,4,2,4,3,1,3,4,7,NA,28029,3,142,4,27.1028037383178,72.8971962616822
1997,1,24,NA,1,1,39,4,5,NA,8,1,1,1,11,4.84999990463257,12856,NA,142,1,23.8636363636364,76.1363636363636
2017,1,22,NA,1,1,35,4,4,1,3,1,3,1,7,6.59340667724609,39273,2,143,1,28.1553398058252,71.8446601941748
2012,2,55,1,1,1,40,4,5,NA,20,1,1,2,10,6.07999992370605,776,3,143,1,25,75
1997,1,32,NA,1,2,10,2,5,NA,16,1,3,1,11,1.5,5250,NA,143,1,34.7826086956522,65.2173913043478
1997,1,40,NA,1,1,37,5,5,NA,24,2,1,1,11,9.87525939941406,6135,NA,144,2,31,69
2012,2,56,2,1,1,50,3,4,7,30,2,3,1,10,8,564,2,144,2,28.5714285714286,71.4285714285714
2017,2,36,NA,1,1,40,4,1,1,15,2,1,1,5,23.0946884155273,5259,1,144,1,21.6783216783217,78.3216783216783
2017,2,46,NA,1,2,28,2,1,3,30,1,1,1,5,9.61538505554199,11926,1,145,NA,27.9661016949153,72.0338983050847
2012,1,53,1,1,1,30,5,2,4,37,2,3,1,10,15,1906,1,145,1,26.3157894736842,73.6842105263158
1997,2,35,NA,1,1,37,2,1,2,16,1,1,1,11,7.38045740127563,11743,NA,145,1,28.7128712871287,71.2871287128713
2012,2,46,1,1,1,-3,3,2,1,29,2,1,1,10,NA,870,1,146,1,25,75
2017,1,23,NA,1,1,40,2,1,1,2,1,1,1,5,8.17307662963867,28636,1,146,3,25,75
1997,1,42,NA,1,1,46,2,4,1,27,1,1,1,11,5.59999990463257,10425,NA,146,1,28.7037037037037,71.2962962962963
2012,2,46,1,1,1,37,NA,1,3,26,2,3,1,10,NA,1740,6,147,1,23.9583333333333,76.0416666666667
2012,1,51,1,1,1,37,2,1,2,32,1,3,1,10,10.5,2951,3,148,3,24.025974025974,75.974025974026
2017,2,57,NA,1,1,37,4,1,3,37,2,1,1,11,22.3492736816406,17363,1,148,1,21.9858156028369,78.0141843971631
2012,2,42,1,1,1,36,4,3,2,20,1,3,4,10,14.9572649002075,870,4,149,1,29.5081967213115,70.4918032786885
2012,1,35,2,1,1,33,2,4,7,14,1,1,1,10,7,1063,5,150,1,34.5454545454545,65.4545454545455
2017,1,47,NA,1,1,45,4,2,3,27,1,3,1,11,14.5299139022827,13201,1,151,1,22.0472440944882,77.9527559055118
2012,2,35,1,1,1,-3,2,2,1,14,2,1,2,10,NA,1363,1,152,1,28.1553398058252,71.8446601941748
2017,1,47,NA,1,1,40,3,5,NA,30,1,3,1,11,NA,12470,3,152,1,35.2941176470588,64.7058823529412
2012,1,38,2,1,1,48,5,5,NA,22,1,1,1,10,9,1228,3,153,1,29.4117647058824,70.5882352941177
2017,1,49,NA,1,1,40,3,4,1,33,1,3,1,11,NA,5883,3,153,1,17.3076923076923,82.6923076923077
2017,2,56,NA,1,1,37,5,1,2,40,2,3,1,11,NA,11330,1,154,1,24.7058823529412,75.2941176470588
2012,2,49,1,1,1,37,4,1,2,33,1,3,1,10,8.31600856781006,1769,1,155,NA,24.7311827956989,75.2688172043011
1997,2,45,NA,1,2,16,4,5,NA,10,2,NA,1,11,3.83999991416931,5265,NA,159,3,30.2631578947368,69.7368421052632
1997,1,30,NA,1,1,39,5,2,1,12,1,1,1,11,4.34000015258789,15076,NA,160,1,32.5301204819277,67.4698795180723
2017,1,33,NA,1,1,37,2,3,2,15,1,3,1,1,12.9937629699707,6060,2,164,2,30.6666666666667,69.3333333333333
2017,2,24,NA,1,2,24,3,2,5,9,1,1,1,2,6.77083349227905,5762,5,168,1,26,74
2017,1,52,NA,1,1,36,4,3,1,36,1,3,1,2,NA,11177,4,169,1,17.0731707317073,82.9268292682927
2017,1,26,NA,1,1,40,2,2,2,9,1,1,1,10,16.8269233703613,4991,3,173,2,26.8115942028986,73.1884057971015
2017,1,21,NA,1,1,-3,2,1,1,5,2,3,1,11,26,9343,1,175,1,28.3333333333333,71.6666666666667
1997,1,36,NA,1,2,25,3,5,NA,15,2,1,1,11,3.59999990463257,5853,NA,176,1,7.89473684210526,92.1052631578947
1997,2,23,NA,1,1,35,3,1,2,5,2,NA,1,11,5.80457925796509,11932,NA,177,2,27.7777777777778,72.2222222222222
2012,2,25,1,1,1,27,3,2,2,7,2,1,1,10,7.34753227233887,795,1,177,1,24.7619047619048,75.2380952380952
1997,1,27,NA,1,1,50,2,4,1,4,1,NA,1,11,6.53846168518066,13352,NA,178,4,28.5714285714286,71.4285714285714
2012,2,32,1,1,1,-3,3,2,2,7,1,1,1,10,6.5,1780,1,178,4,18.1818181818182,81.8181818181818
2017,2,50,NA,1,2,20,2,4,5,32,2,3,1,2,NA,4581,3,178,1,26.8292682926829,73.1707317073171
2012,2,44,1,1,1,-3,2,1,2,18,3,1,1,10,NA,1648,1,179,1,20.9677419354839,79.0322580645161
2012,2,44,1,1,2,12,3,4,1,28,1,3,1,10,8.33333301544189,1769,4,180,1,18.8679245283019,81.1320754716981
1997,2,35,NA,1,2,18,2,5,NA,11,1,NA,1,11,3.13518929481506,9137,NA,180,1,32.2033898305085,67.7966101694915
2012,2,50,1,1,1,30,3,3,1,25,1,3,1,10,6.5,2208,2,181,1,23.4375,76.5625
2012,2,22,1,1,1,35,3,2,1,2,1,NA,1,10,6.07999992370605,1038,1,182,2,26.0416666666667,73.9583333333333
2012,2,53,1,1,1,33,2,1,2,34,2,1,1,10,6.48000001907349,767,1,183,1,19.5652173913043,80.4347826086957
2012,1,57,2,1,1,48,4,2,2,36,1,1,1,10,14.0224351882935,2032,3,184,1,32.5581395348837,67.4418604651163
2017,1,33,NA,1,1,38,2,1,2,17,1,2,1,10,9.2914981842041,2203,4,184,3,22.3684210526316,77.6315789473684
2017,1,34,NA,1,1,41,3,5,NA,18,1,3,1,8,11.2570352554321,11434,5,185,1,21.7948717948718,78.2051282051282
2017,2,44,NA,1,1,50,2,2,2,28,3,1,1,11,20,12185,1,186,1,20.6106870229008,79.3893129770992
2012,2,35,1,1,1,37,5,1,2,17,2,1,1,10,9.27910614013672,927,1,186,1,28.5714285714286,71.4285714285714
2012,1,49,2,1,2,21,4,3,2,32,1,2,1,10,6.69999980926514,1035,1,187,1,18.3098591549296,81.6901408450704
2017,1,38,NA,1,1,40,2,1,2,22,1,3,1,10,20.1923084259033,3502,1,188,1,28.2828282828283,71.7171717171717
2017,2,46,NA,1,2,20,2,5,NA,28,1,3,1,5,11.5384616851807,8973,5,192,4,27.6190476190476,72.3809523809524
2017,2,56,NA,1,1,35,4,5,NA,34,2,3,1,4,6.79643678665161,4581,5,193,1,18.75,81.25
2017,2,54,NA,1,1,40,1,1,2,31,2,2,1,4,25,25701,1,194,1,25.6,74.4
2012,2,58,1,1,1,33,4,1,1,41,1,1,1,10,7.15999984741211,2469,1,195,1,24.4444444444444,75.5555555555556
1997,1,34,NA,1,1,39,2,5,NA,17,1,3,1,11,7.39644956588745,5025,NA,196,1,18.5714285714286,81.4285714285714
1997,2,35,NA,1,2,10,2,1,1,17,1,NA,1,11,3.29999995231628,9107,NA,197,1,27.9279279279279,72.0720720720721
1997,2,29,NA,1,1,56,3,5,NA,13,1,1,1,11,5.55000019073486,5729,NA,199,1,28.3582089552239,71.6417910447761
2012,1,34,1,1,1,55,3,1,1,13,1,1,1,2,17.4825172424316,15501,1,199,2,27.4809160305344,72.5190839694656
2012,1,57,1,1,1,36,2,1,2,38,3,1,1,10,17,1906,1,200,1,16.9811320754717,83.0188679245283
2012,2,37,1,1,2,27,4,1,1,16,2,3,1,10,11,1854,3,201,3,28.2352941176471,71.7647058823529
2012,2,49,1,1,1,38,4,1,3,29,2,1,1,10,11.8927125930786,1565,1,202,1,34.4086021505376,65.5913978494624
2012,1,58,2,1,1,37,2,4,2,40,2,2,1,10,9.97999954223633,2032,5,203,1,23.5955056179775,76.4044943820225
1997,1,54,NA,1,1,90,4,5,NA,38,2,1,1,11,5.01630306243896,5672,NA,203,1,28.9719626168224,71.0280373831776
