"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","cognitive_PCA","interactive_PCA","physical_PCA"
1997,2,39,NA,1,1,42,4,5,NA,23,2,1,1,11,5.34000015258789,6.53048324584961,NA,51,1,0.260602117579035,0.557610592612011,0.666547768380683
2017,2,42,NA,1,1,42,2,1,2,18,1,1,1,1,10.9523811340332,0.665599942207336,5,52,3,0.583600973504852,0.735726861298994,0.371156093065038
2012,2,56,2,1,2,23,4,5,NA,26,1,3,1,10,7,0.191380977630615,NA,53,2,0.181746993190866,0.528595489964749,0.273089880802282
1997,2,54,NA,1,2,21,2,5,NA,39,1,2,1,11,3.44000005722046,1.65318334102631,NA,54,1,0.497455366086569,0.380766959161533,0.521526927820698
2012,1,39,1,1,1,46,5,1,4,1,2,NA,4,10,12.4581937789917,0.298010259866714,1,54,2,0.821568619673203,0.373142758345671,0.393636235007376
2012,2,50,1,1,1,30,3,5,NA,23,1,2,1,10,6.1399998664856,0.0855865254998207,1,56,1,0.744624151572983,0.829793808361732,0.794795156051956
1997,1,45,NA,1,1,37,5,5,NA,28,1,1,1,11,6.5,1.1176985502243,NA,58,1,0.423360170034817,0.502158851306447,0.726910119197718
2012,2,44,1,1,2,8,4,3,1,12,2,1,1,10,10.817307472229,0.202378362417221,NA,59,2,0.52904826212103,0.666286943023133,0.60575402613268
2012,2,45,1,1,1,45,2,2,2,26,1,3,1,10,NA,0.0898749753832817,1,60,1,0.596207525069305,0.521780939974643,0.106542112421599
2017,2,25,NA,1,1,38,2,1,4,8,2,1,1,11,10.374493598938,0.776312410831451,2,60,1,0.947194266209473,0.841093049742346,0.430552010164177
2012,1,58,2,1,1,40,3,4,7,43,1,1,1,10,NA,0.204492464661598,5,61,4,0.859304801350928,0.747928836249067,0.863455059598859
2017,1,20,NA,1,1,39,2,2,3,5,1,NA,1,11,5.91715955734253,0.896405100822449,1,61,1,0.856912142367701,0.864787171626622,1
2012,2,38,1,1,1,30,3,1,2,15,1,3,1,10,NA,0.202218696475029,5,62,3,0.743278389161186,0.883407428980308,0.445954077096535
2017,2,27,NA,1,1,33,2,5,NA,9,2,1,1,11,5.12820529937744,1.38373255729675,5,62,2,0.662481261691062,0.790200968304119,1
2012,2,43,1,1,1,60,5,2,2,22,2,1,1,10,14.1025648117065,0.0909698978066444,1,63,1,0.569171883044837,0.622248238972615,0.189041129919276
2017,1,58,NA,1,1,40,3,3,1,41,2,1,1,2,7.5,0.581525206565857,3,63,1,0.76207015066248,0.789981151576535,1
2017,1,30,NA,1,1,40,2,4,2,8,3,3,1,2,7.21153879165649,0.59427797794342,5,64,4,0.716345405028435,0.75260782308347,0.265388847336103
1997,2,26,NA,1,2,16,2,5,NA,10,1,NA,1,11,3.8199999332428,3.30636787414551,NA,64,1,0.429240844988995,0.673991833727797,0.387319807093806
2012,2,47,1,1,1,39,4,5,NA,30,1,3,1,10,8.5,0.0969919785857201,5,66,1,0.388206254132673,0.234181966496524,0.682114963145762
2012,2,25,1,1,2,16,3,1,2,6,1,1,1,10,6.15999984741211,0.120666205883026,1,67,1,0.435269812657754,0.588941201321552,0.637319807093806
2012,2,59,2,1,2,15,2,5,NA,40,1,3,1,10,8,0.131096825003624,6,68,1,0.123797598665632,0.0407846337716995,0.514613980643439
1997,2,45,NA,1,1,39,2,5,NA,29,1,3,1,11,4.28000020980835,0.48468428850174,NA,70,1,0.155788347231448,0.351272949744785,0.689815996611941
2012,2,32,1,1,2,25,3,1,2,13,2,1,1,10,7.69230794906616,0.107781536877155,1,78,2,0.8200990543259,0.54427792091434,0.590365178796576
2012,2,38,1,1,1,37,5,1,2,8,2,1,4,10,10.3950099945068,0.107781536877155,1,79,1,0.728380496995763,0.840143261660274,0.544795156051956
2017,2,29,NA,1,1,43,3,3,2,11,1,2,1,10,10.5,0.446892589330673,1,79,1,0.394055783967216,0.514913599910613,0.386544940401141
2012,1,39,1,1,1,40,3,4,1,23,2,3,1,10,8.11999988555908,0.428473711013794,4,80,1,0.455499560535542,0.396717335875597,0.735386019356561
2017,1,59,NA,1,1,45,2,1,1,40,1,3,1,10,9.82905960083008,0.201858341693878,1,80,2,0.584149308062397,0.6246082281666,0.430552010164177
2012,1,29,1,1,1,50,4,1,2,8,1,3,1,10,10.3846158981323,0.353177964687347,6,81,1,0.851182507399697,0.938924403172103,0.871156093065038
2017,2,54,NA,1,2,13,2,3,2,33,2,1,1,10,11,0.148250877857208,1,81,1,0.910366011428989,0.9110658015641,0.4467289437892
2017,1,46,NA,1,1,39,3,1,2,25,1,1,1,11,NA,0.683981597423553,3,83,3,0.950846075837896,0.804244846632839,0.658250215650814
2012,1,43,1,1,1,40,3,3,7,27,1,1,1,10,8.25,0.109876543283463,5,84,2,0.644060346694276,0.653293409737526,0.932114963145762
2017,1,45,NA,1,1,38,4,4,2,29,1,3,1,11,12.6518220901489,0.683981597423553,5,84,1,0.62503818637224,0.540935378025772,1
2017,1,37,NA,1,1,37,4,1,2,18,1,1,1,11,9.35550880432129,0.627787292003632,3,85,2,0.899408495275438,0.864787171626622,0.567885036854238
2012,2,57,2,1,2,18,3,4,2,40,2,1,1,10,NA,0.065548412501812,6,86,1,0.399210096732059,0.843620188155955,0.340200050963856
2012,1,36,2,1,1,39,4,4,1,15,1,3,1,10,10.5,0.247222229838371,5,88,NA,0.541964368670678,0.517398961716418,0.75
2017,2,53,NA,1,1,40,2,1,2,33,1,1,1,11,NA,1.00514233112335,1,89,1,0.685857327840298,0.65052103863549,0
1997,1,39,NA,1,1,48,3,5,NA,22,1,3,1,11,3.75,1.07757639884949,NA,90,1,0.174269136054389,0.231701994659967,0.310972089676979
2017,2,40,NA,1,2,19,3,1,3,18,2,1,1,10,13.1578950881958,0.329705774784088,1,91,2,0.675267784890055,0.629555107168967,0
1997,1,34,NA,1,1,54.0000038146973,3,2,2,18,1,1,1,11,7.00356101989746,0.564732074737549,NA,93,1,0.777058777493968,0.767842191119365,0.469997172020458
2017,2,41,NA,1,2,20,3,5,NA,18,1,2,1,4,6.92840671539307,1.07648551464081,6,94,1,0.419567546141531,0.868001863268277,0.931340096453097
2012,1,58,2,1,1,39,3,4,2,41,1,3,1,10,7.8899998664856,0.11813884973526,5,95,1,0.75591017200438,0.688723265284564,0.544795156051956
2012,1,31,1,1,1,45,5,1,4,7,2,1,1,10,14.5299139022827,0.267913639545441,1,96,2,0.48524483479551,0.966783004780105,0.159813168632399
1997,1,36,NA,1,1,37,5,2,3,19,1,1,1,11,12.7338876724243,0.538788199424744,NA,96,1,0.524865290390618,0.42139027719002,0.5532710562108
2012,2,55,1,1,1,45,3,2,2,31,2,1,1,10,19.230770111084,0.0941621586680412,1,97,2,0.684721768914747,0.788037678630507,0.575586070320417
2017,1,35,NA,1,1,86,4,1,2,18,1,3,1,11,9.39177131652832,1.32806420326233,1,97,1,0.985614950048222,0.824202766879133,0.863455059598859
2012,1,21,1,1,2,8,3,2,3,0,1,2,1,10,6.07999992370605,0.529766976833344,2,98,1,0.3631610548146,0.75807631740501,0.386544940401141
2017,1,22,NA,1,2,-3,2,2,2,0,1,NA,1,4,7.5,0.845699310302734,1,98,1,0.868796547786202,0.806991801774032,0.636544940401141
2012,2,56,1,1,1,36,4,1,2,36,2,3,1,10,10.1300001144409,0.191380977630615,1,99,1,0.65815182630091,0.901415558008545,0.453820238395435
1997,1,23,NA,1,1,40,5,1,2,5,1,1,1,11,4.09999990463257,2.43257093429565,NA,99,3,0.45266239943762,0.621800176058921,0.55093323653655
2017,2,41,NA,1,1,32,2,2,2,20,2,1,1,10,21.334135055542,0.376396119594574,1,99,4,0.949471559830089,0.889898818093433,0.893457887578401
1997,1,54,NA,1,1,37,4,5,NA,35,1,2,1,11,3.79999995231628,0.708251237869263,NA,100,1,0.0349878055421288,0.22851677265461,0.623493912739287
2012,2,24,2,1,2,8,2,5,NA,6,1,2,1,10,6.07999992370605,0.120666205883026,4,101,1,0.312078898117761,0.441203707696227,0.773089880802282
2017,1,22,NA,1,2,12,2,3,1,4,2,2,3,7,8.01282024383545,2.62945485115051,5,101,4,0.631355105858186,0.718393434916228,0.310184003388059
1997,2,51,NA,1,1,40,3,1,3,35,1,2,1,11,7.5,0.514441967010498,NA,103,1,0.817358839944217,0.838371895253711,0.453820238395435
2017,2,57,NA,1,2,30,2,3,5,18,1,3,3,7,NA,0.529944360256195,6,103,2,0.484558095769498,0.75,0.75
2012,1,55,1,1,1,45,NA,1,3,39,1,3,1,10,12.8730764389038,0.221607580780983,1,104,1,0.814587015289627,0.809295613395671,0.612680192906194
2017,1,33,NA,1,1,40,4,4,5,12,1,3,1,7,7.21153879165649,1.91618740558624,5,104,NA,0.476026718066969,0.5,0.273089880802282
2012,1,59,1,1,2,25,1,1,2,41,1,3,1,10,NA,0.125251621007919,1,105,1,0.654028316415936,0.608235166573987,0.249225133307335
2012,2,27,2,1,2,21,3,4,7,9,1,3,1,10,6.3899998664856,0.184829965233803,5,106,2,0.56796678221043,0.700105311509119,0.508475900158844
1997,2,49,NA,1,1,40,3,5,NA,20,1,3,1,11,3.5,0.969368577003479,NA,106,2,0.128044026476237,0.31970485965379,0.287094122585777
2017,1,39,NA,1,1,38,4,1,3,18,2,3,3,7,17.7125492095947,1.57972621917725,1,106,4,0.739154580434708,0.804379540323397,0.445165990807616
1997,1,36,NA,1,1,55,2,2,1,20,2,1,1,11,6.64335680007935,1.22117292881012,NA,107,2,0.659375288675609,0.692113678852913,0.726910119197718
2017,1,53,NA,1,1,38,4,1,3,32,2,2,1,10,15.1821870803833,0.218540847301483,2,108,4,0.717655899678997,0.886955163431867,0.606542112421599
2017,1,55,NA,1,1,37,4,2,2,36,2,1,1,11,19.5426197052002,1.40262007713318,1,110,1,0.739233344305293,0.713900447085027,0.354979159440015
1997,2,43,NA,1,2,16,3,5,NA,22,1,1,1,11,6,1.175616979599,NA,110,2,0.578878324343191,0.743721671054208,0.810972089676979
2012,2,50,1,1,2,25,2,1,1,25,2,1,1,10,9.35999965667725,0.169305086135864,1,110,1,0.688489663828686,0.871478789763957,0
1997,2,32,NA,1,1,37,3,1,2,15,1,2,1,11,6.75675678253174,0.91154670715332,NA,111,1,0.623632024273912,0.528715034319099,0.135770073708476
2017,1,51,NA,1,1,37,5,1,3,30,2,1,1,3,NA,1.40262007713318,1,112,4,0.881594805202056,0.806683351945037,0.219997172020458
1997,1,41,NA,1,1,38,2,2,2,16,1,1,1,11,6.5,1.50570118427277,NA,113,1,0.755888783208076,0.599612596550303,0.355767245728934
2012,1,44,1,1,1,44,4,1,4,28,1,1,1,10,16.5,0.23814545571804,2,114,NA,0.940642803182353,0.916649840161047,0.794795156051956
1997,2,48,NA,1,2,20,5,2,2,18,1,1,1,11,4.53999996185303,1.45405316352844,NA,114,1,0.673892172209573,0.401410638614403,0.8032710562108
2017,2,47,NA,1,1,30,3,1,3,30,2,1,1,10,8.9743595123291,0.156053557991982,3,115,1,0.928858380096742,0.82319814679643,1
2017,1,37,NA,1,1,-3,4,2,2,11,2,3,1,8,NA,0.716689586639404,1,116,4,0.787404638771022,0.858326203751878,0
2012,1,45,2,1,1,39,3,4,7,29,1,1,1,10,NA,0.219753086566925,5,117,1,0.402126131719568,0.433314478039206,0.476910119197718
1997,2,54,NA,1,1,37,5,1,1,36,2,1,1,11,11.8243246078491,1.27931213378906,NA,117,4,0.6640803304328,0.876303911541735,0.106542112421599
2012,2,48,1,1,1,37,NA,1,3,15,2,1,1,10,20.2702693939209,0.202378362417221,1,118,2,0.83727643319173,0.922582541479213,0
2017,2,21,NA,1,1,40,4,1,2,4,1,1,1,6,8.89423084259033,0.717051863670349,1,119,1,0.62158067457413,0.794498646505252,0.180552010164177
1997,1,56,NA,1,1,37,4,1,2,33,1,2,1,11,5.19750499725342,0.593160510063171,NA,119,3,0.616466437359293,0.234181966496524,0.273089880802282
1997,2,25,NA,1,1,37,4,1,4,0,1,1,1,11,NA,1.02888369560242,NA,120,3,0.79287990712492,0.584436291210556,0.416726115809658
2012,1,46,2,1,2,15,NA,5,NA,25,1,3,1,10,6.30000019073486,0.0922007635235786,6,120,NA,0.691590384361782,0.573856668676401,0.666726115809658
2017,1,22,NA,1,2,15,2,4,NA,NA,1,NA,2,5,NA,1.69139862060547,3,121,NA,0.360711606033357,0.721914456212798,0.705204843948044
2012,2,39,1,1,1,35,3,1,3,22,1,1,4,10,8.70879077911377,0.204682275652885,5,123,1,0.673846766040323,0.414426713209268,0.0601840033880591
2012,2,47,1,1,1,39,4,3,1,30,1,2,1,10,6.40999984741211,0.102831564843655,4,124,3,0.444516452338667,0.623793133775086,0.886544940401141
2012,1,36,1,1,1,40,NA,2,4,12,2,1,1,10,18.269229888916,0.298010259866714,1,125,3,0.837607769609519,0.502061805989626,0.393636235007376
2017,2,32,NA,1,1,37,5,2,1,NA,2,2,1,11,NA,0.543244361877441,1,125,1,0.73161166859585,0.652960366927622,0.8032710562108
2012,2,55,2,1,2,20,5,4,7,40,2,1,1,10,7.1399998664856,0.342346101999283,1,126,1,0.596965520932831,0.53318796387182,0.621930959757703
2017,2,37,NA,1,1,33,4,1,2,15,2,NA,1,11,NA,0.513592481613159,1,126,2,0.743263683250224,0.861707173675526,0.25
1997,2,57,NA,1,1,37,5,4,1,33,2,3,1,11,9.87525939941406,0.639656245708466,NA,126,4,0.623012313700137,0.760044383331947,0.356542112421599
2012,1,21,1,1,1,40,2,3,1,2,1,1,1,10,6.69999980926514,0.176588982343674,1,128,1,0.709377635165455,0.76473669132403,0.750774866692665
2017,1,51,NA,1,1,37,2,3,1,34,1,3,1,10,8.10810852050781,0.404967874288559,5,129,1,0.666487619454087,0.568298046040299,1
2012,2,25,1,1,1,40,3,2,4,1,1,NA,1,10,9.13461494445801,0.251387894153595,3,130,1,0.75,0.634409260294819,0.484611152663897
2017,2,34,NA,1,1,38,2,1,4,10,2,3,1,2,18.2186222076416,1.17264688014984,1,131,4,1,1,1
1997,2,37,NA,1,2,20,2,1,2,13,1,NA,1,11,5,0.45577335357666,NA,131,2,0.787916195411131,0.972141398391997,0.25
1997,1,24,NA,1,1,37,5,1,4,2,1,NA,1,11,8.83575916290283,1.43148517608643,NA,132,4,0.753572381044697,0.635157910489353,0.544795156051956
2012,1,53,2,1,1,45,4,5,NA,32,1,3,1,10,15.1111106872559,0.204492464661598,6,132,1,0.57812137283781,0.437011605954183,1
2012,1,38,2,1,1,18,2,5,NA,15,1,1,1,10,12.8205127716064,0.247222229838371,1,133,1,0.540753483417524,0.447668686101785,1
2017,1,21,NA,1,1,43,2,1,2,3,1,1,1,7,8.05008888244629,4.15606021881104,1,133,1,0.662785196026771,0.799080853787687,0.234611152663897
1997,2,35,NA,1,2,20,3,2,1,18,1,2,1,11,6.25,0.91154670715332,NA,135,1,0.53101880927467,0.213367175250912,0.348066212262755
2012,2,38,1,1,2,30,3,1,3,20,2,3,1,10,NA,0.215563073754311,1,136,1,0.466244356950309,0.501489976918445,0
1997,2,23,NA,1,1,35,4,1,1,7,2,1,1,11,6.31868124008179,1.02888369560242,NA,136,2,0.821314116362023,0.743479194847088,0.453820238395435
2012,1,24,1,1,1,-3,4,3,1,7,2,2,1,10,NA,0.499682545661926,1,137,1,0.459352253528772,0.648527995035931,0.879631993223882
1997,2,43,NA,1,2,20,5,5,NA,20,1,NA,1,11,3,0.564469873905182,NA,138,1,0.394496352923596,0.258252403011659,0.759263986447763
2017,1,20,NA,1,1,50,3,4,5,2,1,1,1,3,6,0.845699310302734,5,138,NA,0.673503974272613,0.655600836746396,0.772301794513363
2012,2,58,2,1,2,-3,4,3,1,41,1,3,1,10,6.09999990463257,0.0855865254998207,1,139,1,0.531224046997803,0.517747624437638,0.628843906934962
1997,1,35,NA,1,1,48,4,4,4,17,1,1,1,11,7,1.30684792995453,NA,140,3,0.599229605191172,0.379095873986249,0.659025082343479
2017,1,24,NA,1,1,37,2,1,1,2,1,3,1,7,9.61538410186768,1.75296986103058,1,141,3,0.544843212459654,0.830995868700453,0.537882208874696
1997,1,24,NA,1,1,39,4,5,NA,8,1,1,1,11,4.84999990463257,1.37836575508118,NA,142,1,0.57712810089705,0.636926132083792,0.864229926291524
2017,1,24,NA,1,1,35,4,2,4,3,1,3,4,7,NA,3.13741755485535,3,142,4,0.653688932346872,0.843181483003567,0.682889829838427
1997,1,32,NA,1,2,10,2,5,NA,16,1,3,1,11,1.5,0.562921941280365,NA,143,1,0.220332795163742,0.289581578686255,0.453820238395435
2017,1,22,NA,1,1,35,4,4,1,3,1,3,1,7,6.59340667724609,4.39600658416748,2,143,1,0.678725289292499,0.732481493929233,0.939815996611941
2012,2,55,1,1,1,40,4,5,NA,20,1,1,2,10,6.07999992370605,0.0902564227581024,3,143,1,0.535144972344008,0.553886826150313,0.931340096453097
2017,2,36,NA,1,1,40,4,1,1,15,2,1,1,5,23.0946884155273,0.586323440074921,1,144,1,0.957390551412718,0.93463255322844,0
2012,2,56,2,1,1,50,3,4,7,30,2,3,1,10,8,0.065548412501812,2,144,2,0.594969255398257,0.636044283411852,0.682114963145762
1997,1,40,NA,1,1,37,5,5,NA,24,2,1,1,11,9.87525939941406,0.657727599143982,NA,144,2,0.730042810392931,0.71082044913393,0.659025082343479
1997,2,35,NA,1,1,37,2,1,2,16,1,1,1,11,7.38045740127563,1.25900185108185,NA,145,1,0.76186569674581,0.8221316031282,0.159813168632399
2017,2,46,NA,1,2,28,2,1,3,30,1,1,1,5,9.61538505554199,1.33119988441467,1,145,NA,0.881747811444367,0.710795856153021,0.438253043630356
2012,1,53,1,1,1,30,5,2,4,37,2,3,1,10,15,0.221607580780983,1,145,1,0.687454089451574,0.789014093984174,0.248437047018416
2012,2,46,1,1,1,-3,3,2,1,29,2,1,1,10,NA,0.101189181208611,1,146,1,1,0.878915350012435,1
2017,1,23,NA,1,1,40,2,1,1,2,1,1,1,5,8.17307662963867,3.19717812538147,1,146,3,0.741886884145956,0.728023620193303,0.491524099841156
1997,1,42,NA,1,1,46,2,4,1,27,1,1,1,11,5.59999990463257,1.1176985502243,NA,146,1,0.81790707561296,0.834542862416368,0.425202015968502
2012,2,46,1,1,1,37,NA,1,3,26,2,3,1,10,NA,0.202378362417221,6,147,1,0.720687447878537,0.716110600888268,0
2012,1,51,1,1,1,37,2,1,2,32,1,3,1,10,10.5,0.343191683292389,3,148,3,0.926103305712908,0.955799536699108,0.932114963145762
2017,2,57,NA,1,1,37,4,1,3,37,2,1,1,11,22.3492736816406,1.93309259414673,1,148,1,0.889307993842352,0.98365813830711,0.181340096453097
2012,2,42,1,1,1,36,4,3,2,20,1,3,4,10,14.9572649002075,0.101189181208611,4,149,1,0.827402738536997,0.724749221475467,1
2012,1,35,2,1,1,33,2,4,7,14,1,1,1,10,7,0.123611114919186,5,150,1,0.818141310754821,0.533393155434812,0.863455059598859
2017,1,47,NA,1,1,45,4,2,3,27,1,3,1,11,14.5299139022827,1.47644221782684,1,151,1,0.840215054060165,0.724445210013637,0.1967289437892
2012,2,35,1,1,1,-3,2,2,1,14,2,1,2,10,NA,0.158490195870399,1,152,1,0.713749756679515,0.733322306729013,0.583273884190342
2017,1,47,NA,1,1,40,3,5,NA,30,1,3,1,11,NA,1.39473068714142,3,152,1,0.511959391515811,0.223334100969412,0.8032710562108
2012,1,38,2,1,1,48,5,5,NA,22,1,1,1,10,9,0.142824575304985,3,153,1,0.560686518243605,0.654544996411188,1
2017,1,49,NA,1,1,40,3,4,1,33,1,3,1,11,NA,0.657918393611908,3,153,1,0.308537651473366,0.351272949744785,0.576360937013082
2017,2,56,NA,1,1,37,5,1,2,40,2,3,1,11,NA,1.26463997364044,1,154,1,0.663525734698831,0.601272949744785,0
2012,2,49,1,1,1,37,4,1,2,33,1,3,1,10,8.31600856781006,0.205663129687309,1,155,NA,0.578185197262314,0.824535723805643,0.400549182184635
1997,2,45,NA,1,2,16,4,5,NA,10,2,NA,1,11,3.83999991416931,0.564469873905182,NA,159,3,0.564485627601125,0.453404303207865,0.621930959757703
1997,1,30,NA,1,1,39,5,2,1,12,1,1,1,11,4.34000015258789,1.61636459827423,NA,160,1,0.587596422715589,0.631103617358668,0.605767245728934
2017,1,33,NA,1,1,37,2,3,2,15,1,3,1,1,12.9937629699707,0.677025556564331,2,164,2,0.521739986520299,0.39702775149285,0.75
2017,2,24,NA,1,2,24,3,2,5,9,1,1,1,2,6.77083349227905,0.643717110157013,5,168,1,0.674004536774735,0.73365813830711,0.568659903546903
2017,1,52,NA,1,1,36,4,3,1,36,1,3,1,2,NA,1.25004506111145,4,169,1,0.395653298374381,0.756899673027132,0.893457887578401
